Event_ID,Line,Station,TS,Part_No,BOM_Version,Torque,Pressure,Cycle_Time,Defect,Inspection_Source,Tool_ID,Supplier,VIN,WO,Rework_Flag,Scrap_Reason,Calibration_Factor,Shift,Temp_C,Shift_Derived
34,GA-2,STN-01,2026-03-10 06:16:00,951-GHI,BOM-1,49.425000000000004,8.99535,45.1,REPAIR,human,TL-018,SUP-01,U17***********N85,WO-20923,False,,0.9885,Morning,94.40175,Morning
45,GA-2,STN-01,2026-03-10 06:22:00,179-DEF,BOM-3,49.97256,10.46856,73.13,REJECT,automated,TL-003,sup-09,Y08***********LUF,WO-81424,False,Visual Defect,0.9876,Morning,65.28036,Morning
144,GA-2,STN-01,2026-03-10 07:11:00,681-DEF,BOM-3,51.98229,12.11449551152112,78.63,REJECT,Human,TL-002,sup-01,YYW***********HRL,WO-57808,False,Visual Defect,1.0133,Morning,72.73242222222223,Morning
155,GA-1,STN-01,2026-03-10 07:17:00,790-GHI,BOM-3,51.18603,8.96013,58.67,OK,AUTO,TL-022,sup-09,8P9***********8PZ,WO-66560,False,Leak Detected,1.0299,Morning,88.88037,Morning
174,GA-1,STN-01,2026-03-10 07:26:00,929-ABC,BOM-1,44.04048,9.931680000000002,68.95,,AUTO,TL-023,SUP-09,K3Y***********FWV,WO-32187,False,,1.0032,Morning,74.13648,Morning
227,GA-1,STN-01,2026-03-10 07:53:00,385-GHI,BOM-2,62.1618,8.640259793985024,63.84,REPAIR,HUMAN,TL-017,SUP-09,F82***********33H,WO-95907,False,Temperature High,0.993,Morning,77.2554,Morning
263,GA-2,STN-01,2026-03-10 08:11:00,176-ABC,BOM-3,50.21184,7.43108219914781,66.79,REPAIR,Automated,TL-022,sup-01,A8S***********60B,WO-88003,False,,0.9807,Morning,72.78973333333334,Morning
284,GA-2,STN-01,2026-03-10 08:21:00,455-ABC,BOM-2,50.98204,9.2606,54.44,REJECT,automated,TL-007,sup-02,1CJ***********DTM,WO-71335,False,Temperature High,0.9748,Morning,75.74196,Morning
296,GA-1,STN-01,2026-03-10 08:27:00,639-DEF,BOM-1,51.22067,10.86804,47.46,REPAIR,automated,TL-014,SUP-02,RP6***********00N,WO-90472,False,Visual Defect,1.0063,Morning,68.4284,Morning
344,GA-1,STN-01,2026-03-10 08:51:00,669-GHI,BOM-3,51.667570000000005,9.955426853652147,61.64,REPAIR,AUTO,TL-003,,K58***********N23,WO-16192,False,Temperature High,0.9917,Morning,71.89825,Morning
365,GA-2,STN-01,2026-03-10 09:02:00,101-DEF,BOM-2,50.629999999999995,8.91088,73.36,REPAIR,HUMAN,TL-001,sup-02,Y8N***********69Z,WO-75468,False,Torque Out of Spec,1.0126,Morning,68.55302,Morning
