Event_ID,Line,Station,Machine_ID,Tool_ID,Operator_ID,Part_No,Part_Type,BOM_Version,Energy_Consumption,Cycle_Time,Defect_Code,Scrap_Reason,Inspection_Result,VIN,Supplier,Supplier_Lot,WO,Rework_Flag,Andon_Flag,Production_Target,Actual_Output,Maintenance_Flag,Warranty_Flag,TS_dt,Torque_Nm,Temp_C,Defect_Normalized,Shift_Derived,Inspection_Source_Normalized,Anomaly_Flag,BOM_Valid
11,PAINT-1,STN-01,MCH-015,TL-016,OP-0043,223-ABC,BODY,BOM-3,170.56,54.57,Unknown,Unknown,Pass,XT8***********ABX,SUP-02,LOT-2611,WO-62394,False,0,51,55,0,0,2026-03-10 06:05:00,50.43766,81.20658,Repair,Morning,Automated,False,False
62,PAINT-1,STN-01,MCH-001,TL-021,OP-0020,710-DEF,ENGINE,BOM-2,245.54,58.13,TORQ_OOS,Visual Defect,Pass,TWK***********246,SUP-09,LOT-5259,WO-27961,False,1,52,47,1,0,2026-03-10 06:30:00,42.5568,160.3072,Repair,Morning,Human,True,True
65,GA-2,STN-01,MCH-006,TL-025,OP-0013,305-JKL,ENGINE,BOM-2,243.58,68.42,TORQ_OOS,Unknown,Pass,LVG***********SNG,SUP-01,LOT-5486,WO-53410,False,0,61,62,0,0,2026-03-10 06:32:00,48.05904,88.0743,Repair,Morning,Human,False,True
67,BODY-1,STN-01,MCH-010,TL-012,OP-0045,650-GHI,BODY,BOM-3,321.11,59.53,TORQ_OOS,Unknown,Rework,G43***********7UT,SUP-02,LOT-5388,WO-97605,False,0,66,64,1,0,2026-03-10 06:33:00,53.0076,82.152,Repair,Morning,Automated,False,False
320,BODY-1,STN-01,MCH-004,TL-015,OP-0048,782-ABC,BODY,BOM-3,164.49,50.52,Unknown,Visual Defect,Fail,K67***********G5B,SUP-01,LOT-1670,WO-70416,False,0,78,70,0,0,2026-03-10 08:39:00,49.88251,84.79035,Repair,Morning,Human,False,False
347,BODY-1,STN-01,MCH-004,TL-003,OP-0028,232-JKL,ENGINE,BOM-3,139.6,86.16,TEMP_OOS,Unknown,Pass,J72***********WLZ,SUP-09,LOT-2264,WO-94633,False,0,59,63,0,0,2026-03-10 08:53:00,50.47296000000001,84.4608,Repair,Morning,Human,False,False
361,BODY-1,STN-01,MCH-009,TL-021,OP-0005,702-GHI,ELECTRICAL,BOM-1,356.04,71.07,Unknown,Unknown,Pass,DGN***********RKD,SUP-01,LOT-6688,WO-86494,False,0,70,69,0,0,2026-03-10 09:00:00,52.30840800000001,247.14998,Unknown,Morning,Human,True,True
517,BODY-1,STN-01,MCH-018,TL-021,OP-0035,572-ABC,ELECTRICAL,BOM-3,362.16,67.83,LEAK,Unknown,Fail,Y7N***********RE2,SUP-02,LOT-6431,WO-68309,False,0,64,67,0,0,2026-03-10 10:18:00,50.44586999999999,183.22982999999996,Unknown,Morning,Automated,True,False
530,BODY-1,STN-01,MCH-012,TL-020,OP-0035,377-GHI,BODY,BOM-3,268.13,50.02,TEMP_OOS,Unknown,Pass,2LF***********FHA,SUP-01,LOT-6671,WO-23579,False,0,70,73,0,0,2026-03-10 10:24:00,53.64398,90.53667999999999,Repair,Morning,Automated,False,False
556,PAINT-1,STN-01,MCH-014,TL-015,OP-0009,966-DEF,ELECTRICAL,BOM-3,257.24,67.02,Unknown,Torque Out Of Spec,Pass,M8B***********N72,SUP-01,LOT-7599,WO-49300,False,0,65,64,0,0,2026-03-10 10:37:00,49.610648,81.40416,Unknown,Morning,Automated,False,False
586,BODY-1,STN-01,MCH-017,TL-016,OP-0030,694-JKL,ELECTRICAL,BOM-3,192.01,62.22,TORQ_OOS,Visual Defect,Pass,1S1***********WKS,SUP-09,LOT-4968,WO-73851,False,0,69,67,0,0,2026-03-10 10:52:00,50.774262,79.72818,Repair,Morning,Automated,False,False
599,PAINT-1,STN-01,MCH-008,TL-012,OP-0007,750-GHI,INTERIOR,BOM-2,511.99,73.58,TORQ_OOS,Temperature High,Fail,7YF***********BUT,SUP-01,LOT-7904,WO-24600,False,0,57,53,1,0,2026-03-10 10:59:00,50.96422,194.07488,Reject,Morning,Human,True,True
