Event_ID,Line,Station,TS,Part_No,BOM_Version,Cycle_Time,Defect,Supplier,VIN,WO,Rework_Flag,Scrap_Reason,Calibration_Factor,Temp_C,Shift_Derived,Torque_Nm,Pressure_Bar,Torque_Anomaly,Temp_Anomaly,Pressure_Anomaly,Cycle_Anomaly,Tool_ID_Clean,Tool_Type,Calibration_Status,Effective_Date
34,GA-2,STN-01,2026-03-10 06:16:00,951-GHI,BOM-1,45.1,REPAIR,SUP-01,U17***********N85,WO-20923,False,Unknown,0.9885,94.40175,Morning,49.425,8.99535,False,False,False,False,TL-018,Torque Wrench,Valid,2025-01-01
45,GA-2,STN-01,2026-03-10 06:22:00,179-DEF,BOM-3,73.13,REJECT,SUP-09,Y08***********LUF,WO-81424,False,Visual Defect,0.9876,65.28036,Morning,49.97256,10.46856,False,False,False,False,TL-003,Torque Wrench,Valid,2026-06-01
144,GA-2,STN-01,2026-03-10 07:11:00,681-DEF,BOM-3,78.63,REJECT,SUP-01,YYW***********HRL,WO-57808,False,Visual Defect,1.0133,72.73242222222223,Morning,51.98229,12.11449551152112,False,False,False,False,TL-002,Torque Wrench,Valid,2026-06-01
155,GA-1,STN-01,2026-03-10 07:17:00,790-GHI,BOM-3,58.67,OK,SUP-09,8P9***********8PZ,WO-66560,False,Leak Detected,1.0299,88.88037,Morning,51.18603,8.96013,False,False,False,False,TL-022,Torque Wrench,Valid,2026-06-01
174,GA-1,STN-01,2026-03-10 07:26:00,929-ABC,BOM-1,68.95,,SUP-09,K3Y***********FWV,WO-32187,False,Unknown,1.0032,74.13648,Morning,44.04048,9.931680000000002,False,False,False,False,TL-023,Torque Wrench,Valid,2025-01-01
227,GA-1,STN-01,2026-03-10 07:53:00,385-GHI,BOM-2,63.84,REPAIR,SUP-09,F82***********33H,WO-95907,False,Temperature High,0.993,77.2554,Morning,62.1618,8.640259793985024,False,False,False,False,TL-017,Torque Wrench,Valid,2026-01-01
263,GA-2,STN-01,2026-03-10 08:11:00,176-ABC,BOM-3,66.79,REPAIR,SUP-01,A8S***********60B,WO-88003,False,Unknown,0.9807,72.78973333333334,Morning,50.21184,7.43108219914781,False,False,False,False,TL-022,Torque Wrench,Valid,2026-06-01
284,GA-2,STN-01,2026-03-10 08:21:00,455-ABC,BOM-2,54.44,REJECT,SUP-02,1CJ***********DTM,WO-71335,False,Temperature High,0.9748,75.74196,Morning,50.98204,9.2606,False,False,False,False,TL-007,Torque Wrench,Valid,2026-01-01
296,GA-1,STN-01,2026-03-10 08:27:00,639-DEF,BOM-1,47.46,REPAIR,SUP-02,RP6***********00N,WO-90472,False,Visual Defect,1.0063,68.4284,Morning,51.22067,10.86804,False,False,False,False,TL-014,Torque Wrench,Valid,2025-01-01
344,GA-1,STN-01,2026-03-10 08:51:00,669-GHI,BOM-3,61.64,REPAIR,,K58***********N23,WO-16192,False,Temperature High,0.9917,71.89825,Morning,51.667570000000005,9.955426853652147,False,False,False,False,TL-003,Torque Wrench,Valid,2026-06-01
365,GA-2,STN-01,2026-03-10 09:02:00,101-DEF,BOM-2,73.36,REPAIR,SUP-02,Y8N***********69Z,WO-75468,False,Torque Out Of Spec,1.0126,68.55302,Morning,50.63,8.91088,False,False,False,False,TL-001,Torque Wrench,Valid,2026-01-01
373,GA-2,STN-01,2026-03-10 09:06:00,700-ABC,BOM-1,47.77,UNKNOWN,SUP-09,LKK***********808,WO-63927,False,Visual Defect,0.9998,79.78404,Morning,54.28914,9.79804,False,False,False,False,TL-015,Torque Wrench,Valid,2025-01-01
408,GA-1,STN-01,2026-03-10 09:23:00,985-DEF,BOM-2,47.56,REJECT,SUP-09,WTM***********ZDL,WO-78133,False,Temperature High,0.996,79.3812,Morning,53.8836,10.245811442518512,False,False,False,False,TL-018,Torque Wrench,Valid,2026-01-01
425,GA-2,STN-01,2026-03-10 09:32:00,451-GHI,BOM-2,73.7,REPAIR,SUP-02,GVD***********XBW,WO-51157,False,Unknown,0.9861,75.43665,Morning,44.96616,9.001754023083606,False,False,False,False,TL-009,Torque Wrench,Valid,2026-01-01
452,GA-2,STN-01,2026-03-10 09:45:00,189-GHI,BOM-3,60.81,,SUP-02,UY5***********1S7,WO-99084,False,Torque Out Of Spec,0.9939,95.81196,Morning,51.38463,12.42375,False,False,False,False,TL-004,Torque Wrench,Valid,2026-06-01
457,GA-2,STN-01,2026-03-10 09:48:00,643-ABC,BOM-2,63.6,UNKNOWN,SUP-01,XG7***********CVN,WO-15719,False,Torque Out Of Spec,0.9828,77.24808,Morning,54.44712,10.417679999999999,False,False,False,False,TL-009,Torque Wrench,Valid,2026-01-01
477,GA-1,STN-01,2026-03-10 09:58:00,468-DEF,BOM-1,85.92,REJECT,SUP-09,XBF***********SL9,WO-23211,False,Torque Out Of Spec,0.9969,96.99837,Morning,55.12857,7.47675,False,False,False,False,TL-021,Torque Wrench,Valid,2025-01-01
416,GA-2,STN-01,2026-03-10 10:10:00,343-DEF,BOM-2,60.26,REPAIR,SUP-02,BSG***********987,WO-57955,False,Visual Defect,0.9872,74.23744,Morning,50.3472,10.661760000000001,False,False,False,False,TL-007,Torque Wrench,Valid,2026-01-01
530,GA-2,STN-01,2026-03-10 10:24:00,776-DEF,BOM-2,59.58,REPAIR,SUP-09,2MW***********R30,WO-26784,False,Unknown,1.0055,81.74715,Morning,58.1179,9.75335,False,False,False,False,TL-021,Torque Wrench,Valid,2026-01-01
533,GA-1,STN-01,2026-03-10 10:26:00,862-GHI,BOM-3,59.71,REPAIR,SUP-01,HF9***********6ZA,WO-57940,False,Torque Out Of Spec,0.9959,85.04986000000001,Morning,47.60402,,False,False,False,False,TL-016,Torque Wrench,Valid,2026-06-01
545,GA-1,STN-01,2026-03-10 10:32:00,542-DEF,BOM-1,57.37,REJECT,SUP-01,HJE***********C1X,WO-86045,False,Unknown,0.9964,74.53071999999999,Morning,48.52468,9.76472,False,False,False,False,TL-009,Torque Wrench,Valid,2025-01-01
