Event_ID,Line,Station,TS,Part_No,BOM_Version,Torque,Temp,Pressure,Cycle_Time,Defect,Inspection_Source,Tool_ID,Supplier
1, Ga-1 , STN-03 ,2026-03-10 06:00,,BOM-1,57.1Nm,86.3C,,72.57,,HUMAN,TL-020,SUP-02
2,GA-1,stn-07,10-03-2026 06:00,,BOM-2,58.8Nm,170.2F,9.8 bar,60.64,REJ,automated,TL-023,SUP-01
3,GA-2,STN-06,2026-03-10 06:01,180ABC,BOM-2,51.7,85.5 c,10.0 bar,59.63,REP,AUTO,TL-002,SUP-02
4, Ga-2 ,STN-01,10-03-2026 06:01,801-ABC,BOM-3,,83.8C,141.4psi,70.98,Reject,automated,TL-023,sup-09
5, Ga-2 ,stn-03,10-03-2026 06:02,395-GHI,BOM-3,,75.5C,10.2 bar,56.62,Repair,automated,TL-008,SUP-01
6, Ga-2 ,stn-04,10-03-2026 06:02,315ghi,BOM-1,44.9Nm,90.7 c,9.5 bar,59.75,na,human,TL-022,SUP-02
7,GA-2, STN-01 ,10-03-2026 06:03,803-ABC,BOM-1,51.7 Nm,74.1C,9.3 bar,61.07,Reject,human,TL-013,sup-02
8, Ga-1 ,STN-01,2026/03/10 06:03,279ABC,BOM-2,48.7 Nm,197.4F,8.4 bar,59.32,Repair,HUMAN,TL-017,SUP-02
9,GA-1,STN-06,10-03-2026 06:04,713-ABC,BOM-3,47.8,199.8F,11.5 bar,71.6,REJ,HUMAN,TL-019,sup-02
10,ga-1,STN-06,2026/03/10 06:04,526GHI,BOM-2,53.8Nm,90.5,8.2 bar,53.33,Repair,automated,TL-020,sup-09
11,ga-2,stn-04,2026/03/10 06:05,,BOM-2,51.2,78.2C,148.4psi,51.7,Repair,AUTO,TL-008,SUP-02
12,GA-2,stn-05,2026-03-10 06:05,145abc,BOM-3,52.6 Nm,105.5C,12.7 bar,49.38,None,HUMAN,TL-016,sup-01
13, Ga-2 , STN-01 ,10-03-2026 06:06,796-ghi,BOM-2,45.9Nm,81.5,11.7 bar,38.58,REP,Human,TL-014,sup-02
14, Ga-1 , STN-06 ,10-03-2026 06:06,306ABC,BOM-1,49.1,82.4,10.8 bar,74.84,,automated,TL-008,SUP-09
15,ga-1,stn-05,10-03-2026 06:07,882ghi,BOM-3,46.2Nm,175.6F,150.4psi,50.99,Repair,human,TL-001,SUP-02
16,GA-1,stn-05,,417-def,BOM-1,49.0Nm,68.7C,,57.61,Reject,human,TL-020,SUP-02
17,GA-1,stn-05,10-03-2026 06:08,106ABC,BOM-1,49.4Nm,199.3F,8.6 bar,75.58,REP,HUMAN,TL-011,sup-02
18, Ga-2 ,STN-05,10-03-2026 06:08,538-DEF,BOM-1,59.2Nm,165.7F,139.5psi,58.58,REP,Automated,TL-006,SUP-09
19,GA-1, STN-03 ,2026/03/10 06:09,149abc,BOM-2,48.7 Nm,89.2 c,10.9 bar,65.14,Repair,Human,TL-009,sup-01
20, Ga-2 ,STN-03,2026-03-10 06:09,342-abc,BOM-2,39.4Nm,91.6,153.5psi,45.79,Reject,AUTO,TL-011,SUP-09
21, Ga-2 ,STN-03,10-03-2026 06:10,744-def,BOM-2,,86.0C,11.2 bar,73.98,Repair,human,TL-024,sup-09
22,GA-2,STN-02,10-03-2026 06:10,604abc,BOM-1,52.2Nm,73.1C,11.8 bar,58.78,REJ,Automated,TL-009,sup-01
23,GA-1, STN-03 ,10-03-2026 06:11,737-GHI,BOM-2,49.3Nm,76.6C,9.8 bar,49.82,Reject,human,TL-004,
24,GA-1,stn-03,2026/03/10 06:11,889-DEF,BOM-2,47.8Nm,53.2,10.3 bar,49.81,na,Automated,TL-005,SUP-09
25, Ga-1 , STN-02 ,2026/03/10 06:12,520-ghi,BOM-1,45.3Nm,78.8C,,76.9,OK,automated,TL-023,sup-01
26, Ga-1 ,STN-01,2026-03-10 06:12,588-ghi,BOM-2,59.7Nm,88.0,194.1psi,54.14,,AUTO,TL-020,sup-09
27,ga-2, STN-03 ,2026/03/10 06:13,152GHI,BOM-1,50.3 Nm,77.6,9.4 bar,50.03,REJ,Human,TL-001,SUP-09
28, Ga-1 , STN-07 ,10-03-2026 06:13,357-GHI,BOM-3,41.3Nm,74.1,159.2psi,55.67,REJ,AUTO,TL-012,SUP-02
29,GA-2,STN-04,2026/03/10 06:14,751ABC,BOM-2,51.6,77.0C,136.0psi,60.45,Reject,automated,TL-007,SUP-09
30,GA-2,STN-04,10-03-2026 06:14,155-DEF,BOM-3,56.0 Nm,197.9F,9.3 bar,61.52,REJ,human,TL-013,SUP-01
31, Ga-2 ,STN-06,2026/03/10 06:15,422-ABC,BOM-2,50.8 Nm,175.0F,139.8psi,64.44,OK,automated,TL-015,sup-09
32,ga-1, STN-07 ,10-03-2026 06:15,222-def,BOM-2,45.5,98.6 c,8.1 bar,62.35,Reject,HUMAN,TL-013,SUP-02
33,ga-2,STN-05,2026-03-10 06:16,870-def,BOM-3,45.0,74.3,6.3 bar,66.47,REJ,AUTO,TL-012,sup-01
34, Ga-2 ,STN-05,10-03-2026 06:16,604-abc,BOM-1,45.4,179.9F,170.2psi,57.27,OK,AUTO,TL-017,
35, Ga-1 ,stn-06,10-03-2026 06:17,679DEF,BOM-3,57.6 Nm,75.7,156.9psi,80.72,,HUMAN,TL-018,sup-01
36, Ga-2 , STN-01 ,2026-03-10 06:17,714-ghi,BOM-1,49.6,213.3F,8.6 bar,55.12,OK,Automated,TL-005,sup-01
37,ga-1, STN-05 ,2026/03/10 06:18,301-GHI,BOM-3,41.6 Nm,81.8 c,154.8psi,73.52,Reject,Automated,TL-017,sup-09
38,ga-2, STN-06 ,10-03-2026 06:18,144GHI,BOM-3,51.9,101.3C,11.2 bar,54.01,Reject,Automated,TL-013,SUP-01
39,GA-2, STN-07 ,2026/03/10 06:19,457GHI,BOM-2,50.7 Nm,75.8C,129.9psi,45.72,OK,automated,TL-010,sup-02
40, Ga-2 ,STN-05,2026/03/10 06:19,266abc,BOM-2,47.8 Nm,203.5F,10.6 bar,43.33,OK,HUMAN,TL-007,SUP-01
41,GA-2,STN-03,2026/03/10 06:20,,BOM-2,44.9 Nm,81.2C,11.5 bar,63.04,Reject,AUTO,TL-014,sup-09
42, Ga-1 ,stn-07,10-03-2026 06:20,386GHI,BOM-2,44.7Nm,88.4C,113.7psi,71.62,,HUMAN,TL-024,sup-01
43, Ga-1 ,STN-06,2026-03-10 06:21,803-ghi,BOM-1,55.4Nm,67.8C,10.8 bar,48.49,REP,AUTO,TL-012,sup-01
44,ga-2,STN-03,,387ABC,BOM-3,,83.5,152.9psi,51.23,,Human,TL-002,sup-01
45,GA-2,STN-03,,236-abc,BOM-1,52.4Nm,69.3C,185.9psi,63.86,Repair,Human,TL-006,sup-09
46,ga-2,stn-05,2026/03/10 06:22,961-def,BOM-1,51.2Nm,82.6 c,10.8 bar,59.97,REP,Human,TL-023,sup-02
47,ga-1, STN-01 ,2026/03/10 06:23,144ABC,BOM-2,,64.8C,136.1psi,54.14,Reject,Automated,TL-020,SUP-09
48,ga-2, STN-01 ,2026/03/10 06:23,283-ghi,BOM-2,47.7Nm,79.1C,9.6 bar,47.21,Reject,automated,TL-002,SUP-09
49,ga-2, STN-02 ,10-03-2026 06:24,412abc,BOM-1,49.0,91.0C,13.0 bar,63.09,REJ,HUMAN,TL-020,SUP-02
50,ga-1,stn-03,10-03-2026 06:24,156def,BOM-2,,85.5C,9.5 bar,66.53,REP,Automated,TL-003,sup-02
51, Ga-2 ,stn-06,10-03-2026 06:25,,BOM-3,57.1,153.8F,,64.92,OK,HUMAN,TL-008,
