Event_ID,Line,Station,TS,Part_No,BOM_Version,Torque,Temp,Pressure,Cycle_Time,Defect,Inspection_Source,Tool_ID,Supplier,VIN,WO,Rework_Flag,Scrap_Reason,Calibration_Factor,Shift
1,ga-2,stn-05,2026-03-10 06:00,109DEF,BOM-3,51.5 Nm,89.4,165.2psi,74.38,REJ,HUMAN,TL-021,sup-01,WNPVB8LBGUW149HKP,WO-14585,0,Visual Defect,1.0091,Evening
2, Ga-2 , STN-01 ,2026-03-10 06:00,805abc,BOM-3,,58.3 c,11.4 bar,50.96,REP,human,TL-014,SUP-02,A841NP93S9SG2GS39,WO-89109,0,Torque Out of Spec,1.0062,Night
3, Ga-2 ,STN-05,10-03-2026 06:01,802-DEF,BOM-3,53.8,166.0F,11.1 bar,85.49,REP,AUTO,TL-022,SUP-02,PF3LE1SVSEDA6BM45,WO-10395,0,,1.0137,Night
4,GA-2,stn-02,10-03-2026 06:01,222ABC,BOM-2,54.7Nm,79.5 c,154.6psi,50.48,OK,HUMAN,TL-017,SUP-01,H0T9X16Y2H8P4ERX6,WO-53680,0,Leak Detected,0.9793,Evening
5,ga-1, STN-05 ,,967-abc,BOM-2,40.2,82.3 c,10.6 bar,70.57,Reject,Automated,TL-005,SUP-02,RS7W2FEHGE2H2JYEB,WO-27336,1,Torque Out of Spec,0.9929,Night
6, Ga-2 ,STN-06,2026-03-10 06:02,889ghi,BOM-2,43.5,72.7C,151.0psi,56.38,REP,human,TL-005,sup-01,A6DP134HMG3SE77P1,WO-49145,0,Leak Detected,1.0124,Evening
7, Ga-1 ,stn-02,2026-03-10 06:03,593ABC,BOM-2,50.6,61.6C,10.6 bar,67.15,,AUTO,TL-024,sup-02,91MPGNV50C0061AAG,WO-83416,0,Visual Defect,0.984,Morning
8,ga-1,stn-02,2026/03/10 06:03,403-def,BOM-1,48.4,72.0 c,10.7 bar,59.59,Reject,human,TL-018,SUP-09,ZKL5PP7Y2ZLLMUAS8,WO-71505,0,Temperature High,0.993,Evening
9,GA-2,stn-03,2026/03/10 06:04,415-ghi,BOM-2,49.9,162.5F,7.9 bar,49.09,OK,human,TL-015,SUP-09,J4NH7T5JTLD3LHSW1,WO-14715,0,Temperature High,1.012,Night
10,ga-1, STN-06 ,10-03-2026 06:70,582-GHI,BOM-1,45.7 Nm,72.3,8.8 bar,32.03,REP,Human,TL-017,SUP-09,YRSHCJ5ZFSUD1YC3B,WO-35199,0,Leak Detected,1.0062,Night
11,ga-1,STN-05,10-03-2026 06:05,429abc,BOM-2,54.4,89.7,122.6psi,85.08,REP,human,TL-010,SUP-02,BTPLC63FSU,WO-17046,0,,1.0004,Morning
12,GA-1,stn-03,2026-03-10 06:05,362DEF,BOM-3,53.9,67.9,169.1psi,60.73,Reject,automated,TL-008,sup-01,ENZZ7E8V3MGU9JZM5,WO-96933,0,,1.0013,Night
13, Ga-2 ,STN-01,2026-03-10 06:06,753ghi,BOM-2,50.3,83.0C,12.5 bar,30.56,REP,AUTO,TL-020,sup-01,1JTZSS6SM9BH3AU5E,WO-36841,0,,0.9965,Night
14, Ga-1 , STN-06 ,2026/03/10 06:06,298-def,BOM-2,55.6 Nm,81.6C,6.7 bar,63.03,REJ,human,TL-022,sup-09,38XG1XS45K,WO-16744,0,Temperature High,1.0171,Morning
15, Ga-1 ,stn-06,2026-03-10 06:07,855-def,BOM-2,52.3 Nm,193.3F,179.0psi,66.9,REJ,Human,TL-022,sup-01,91YTL2PP08NRTT,WO-77210,0,Visual Defect,1.0418,Evening
16, Ga-2 ,stn-01,2026/03/10 06:07,679DEF,BOM-2,45.7,78.7,146.9psi,52.85,REJ,Automated,TL-019,SUP-01,7C5Z97W5LGL3HN3LE,WO-38609,0,Leak Detected,1.0059,Night
17,GA-1,stn-06,2026/03/10 06:08,994-abc,BOM-3,51.8 Nm,87.9,11.5 bar,52.92,None,HUMAN,TL-021,SUP-09,0Y42ZY5159PCP,WO-70852,0,Visual Defect,1.0256,Evening
18,ga-1,stn-02,10-03-2026 06:08,499def,BOM-1,45.2Nm,172.9F,10.8 bar,59.8,REJ,HUMAN,TL-013,SUP-01,N2TD7G00T3BFSSDAJ,WO-61170,0,Torque Out of Spec,0.9913,Night
19,GA-2, STN-07 ,2026-03-10 06:09,122-ghi,BOM-3,54.4 Nm,183.8F,,72.03,OK,human,TL-008,sup-09,0T474VZL17LGDSZ3K,WO-95317,0,Visual Defect,0.9864,Evening
20,GA-1,stn-03,2026/03/10 06:09,730-ABC,BOM-1,49.8,65.0C,10.3 bar,61.0,None,AUTO,TL-002,SUP-09,F0FJPLK4MYF67DZ17,WO-31701,0,Leak Detected,0.9842,Morning
21, Ga-1 , STN-03 ,2026/03/10 06:10,116-ABC,BOM-1,49.1 Nm,53.6 c,8.0 bar,74.63,Reject,human,TL-008,SUP-02,RBRSD83MNVUA4WN51,WO-42043,0,,0.9816,Evening
22, Ga-2 ,stn-03,10-03-2026 06:10,459ghi,BOM-3,46.6 Nm,182.8F,142.7psi,71.31,REP,Human,TL-011,SUP-09,FARFGJSLT2H4JKJEM,WO-58662,0,Temperature High,0.9941,Evening
23,ga-1,STN-02,2026/03/10 06:11,877DEF,BOM-1,56.1 Nm,84.3,10.8 bar,57.71,Repair,HUMAN,TL-003,sup-01,292C4XVE7GUSG5KSG,WO-26287,1,Leak Detected,1.0177,Evening
24, Ga-2 ,STN-04,10-03-2026 06:11,187def,BOM-2,49.2,84.8 c,140.3psi,44.29,na,Automated,TL-008,SUP-01,GKAMYV0XFZ8CCFXT1,WO-15371,0,Torque Out of Spec,1.0201,Morning
25,ga-1,STN-05,10-03-2026 06:12,405ghi,BOM-2,47.9Nm,74.8C,11.0 bar,57.73,na,Human,TL-023,sup-01,ENWMFKAUFZZUTTBDX,WO-15515,0,Leak Detected,0.9898,Night
