VIN,Total_Energy
00D***********27N,214.49
00N***********SN8,160.19
00Y***********TG1,296.36
010***********GZT,260.66
013***********6YR,229.26
01K***********2W4,248.35
01N***********J9Y,121.85
01P***********N7K,441.97
025***********9MF,265.06
026***********D4A,412.52
02N***********YBM,211.81
030***********X0M,238.49
034***********CG1,171.89
036***********TXH,327.6
03C***********PEL,214.29
03F***********FEY,211.57
03U***********MD5,258.34
040***********09E,163.55
04F***********BC1,356.16
04M***********14G,132.86
04S***********WPH,360.33
04V***********ZEE,304.24
04X***********2W1,228.22
04X***********DKA,385.03
050***********AFA,203.97
050***********ANJ,113.26
055***********NE6,274.89
05N***********EEJ,488.3
060***********KC8,272.18
06D***********SE0,289.02
077***********P7M,338.07
089***********KMN,159.27
08B***********Y4E,323.1
08M***********82W,366.56
08V***********9C1,241.76
08W***********DFN,276.84
08Z***********DEV,395.85
09G***********DYS,266.5
09T***********LRE,176.15
09W***********SCK,265.94
0A6***********30M,442.59
0A8***********18S,78.73
0AG***********RS0,244.91
0AL***********8JD,315.39
0AN***********1PU,255.56
0AV***********57F,182.01
0AX***********067,232.85
0AX***********13Y,214.66
0C3***********E5Z,257.5
0CD***********0LW,105.21
0CP***********RT8,291.33
0CU***********A9S,306.73
0CZ***********62Y,283.01
0DE***********9J7,297.3
0DL***********9C7,235.79
0DP***********GV6,269.55
0E5***********VGL,202.1
0EA***********LPX,97.33
0EB***********8BZ,388.75
0EG***********ZAD,271.36
0ES***********5NF,121.5
0EZ***********58J,150.82
0FA***********P3M,126.48
0FF***********68M,347.69
0FG***********71Z,299.93
0FS***********M5T,233.6
0FT***********07L,382.21
0GB***********M2G,374.99
0GE***********R15,172.35
0GR***********B3N,320.64
0GW***********MZG,144.35
0H4***********GF0,421.86
0HK***********WUG,194.26
0HX***********LZV,470.41
0HY***********YL9,160.37
0JE***********JLR,167.76
0JG***********MNA,194.4
0JK***********6PT,166.66
0JM***********JMV,207.89
0JY***********JCW,202.47
0JZ***********G1Z,146.7
0KW***********7T2,276.74
0KX***********339,360.58
0KY***********90G,159.64
0KZ***********M02,272.48
0LG***********YF1,184.48
0LH***********DDA,180.82
0LJ***********RX6,307.65
0LM***********67Z,118.56
0M7***********K8R,274.84
0MD***********B6C,320.66
0ML***********GUP,230.78
0NM***********8ZP,357.2
0P5***********WD9,329.46
0P6***********AB1,207.87
0PB***********M9R,322.59
0PM***********C84,341.42
0PN***********F2B,268.44
0PP***********RE5,140.17
0PW***********3GZ,155.75
0R4***********8H6,305.37
0RC***********AK4,187.0
0RH***********2RS,167.46
0RJ***********7DZ,139.85
0S0***********F6X,229.86
0S8***********XRN,387.25
0SC***********CMP,161.73
0SN***********JK9,274.89
0ST***********896,119.84
0SX***********YT8,136.15
0T3***********9JX,166.61
0T3***********N9V,243.91
0TA***********RN2,131.37
0TD***********RJH,142.36
0TK***********BE3,361.25
0TP***********DKT,254.31
0TV***********WJY,85.68
0UE***********98Y,164.27
0UF***********XAD,275.88
0UH***********M0D,107.42
0UJ***********V8J,117.42
0UM***********N7U,406.35
0UU***********P9T,235.84
0VA***********47P,171.82
0VE***********NW7,219.5
0VM***********WAE,142.45
0WC***********NZB,247.21
0WF***********LD2,342.71
0WK***********GVH,527.51
0WV***********P60,397.53
0WZ***********M8S,272.86
0X2***********0PL,169.29
0X6***********3Y3,252.22
0XG***********PLM,284.62
0Y2***********9AH,151.01
0YA***********AL5,258.18
0YJ***********RTG,99.96
0Z9***********MMZ,111.98
0ZX***********1Y5,192.84
104***********RN5,232.19
11E***********YPA,187.47
11M***********B77,271.08
122***********08X,138.29
123***********A3J,147.27
12A***********DWG,338.0
12C***********23K,167.94
12E***********92G,161.92
12M***********ZY3,128.39
12U***********ZPX,179.67
12W***********1CK,237.02
12W***********HGP,146.14
147***********YJC,275.35
14L***********SY7,212.66
14T***********XFU,205.79
15C***********DA1,168.23
15J***********GCV,156.01
15N***********BD9,166.41
15V***********APH,281.16
162***********35D,254.64
16F***********8GS,169.88
16J***********48L,190.23
179***********DD9,307.24
17J***********BWS,146.02
17M***********997,155.67
187***********6ET,317.6
18B***********AEM,183.22
18M***********5D2,306.14
18V***********XNY,150.94
18Z***********E1T,113.23
197***********SRT,186.78
198***********N33,427.13
1AE***********VSH,186.69
1AP***********H3R,220.91
1B1***********D4G,88.04
1B3***********XFR,247.79
1BG***********H7G,173.97
1BM***********EYE,198.05
1BP***********FA8,307.41
1C4***********EAZ,209.3
1C5***********2V9,156.54
1C6***********U4R,402.22
1C7***********CZZ,333.65
1CC***********RPV,284.03
1CD***********PA2,270.05
1CF***********HYU,175.03
1CJ***********G0L,166.76
1CS***********EWL,200.02
1DP***********1BG,235.46
1E3***********407,240.14
1E5***********7DX,186.57
1E6***********R24,171.51
1EF***********YC5,182.12
1EJ***********MNB,188.5
1F1***********WA4,150.77
1FN***********5B2,254.3
1FS***********YFH,204.56
1FW***********5NF,126.97
1G1***********R9W,179.83
1GA***********MRK,279.0
1H2***********SDP,256.13
1H9***********LLB,123.25
1HY***********CEF,243.76
1J0***********4CK,190.95
1J9***********MM7,138.21
1JA***********0D0,318.39
1JP***********9D1,276.43
1JR***********Z0R,160.31
1KB***********KBX,252.22
1KN***********YFH,242.48
1KY***********813,291.45
1KZ***********KLT,345.1
1KZ***********MSW,303.94
1L2***********N8U,368.21
1LC***********BD1,304.7
1LE***********HRT,165.05
1LT***********E7A,382.29
1M2***********06J,138.5
1ME***********NC4,228.44
1MM***********SVV,220.89
1MV***********U82,132.7
1N3***********ZM2,309.42
1N7***********SLA,315.15
1ND***********VLX,295.18
1NJ***********CET,315.59
1NT***********098,191.76
1NU***********EMD,272.08
1PK***********W1W,246.54
1PP***********HXV,331.6
1R8***********EFN,335.02
1RC***********V0L,185.59
1RC***********ZVX,475.64
1RM***********U2A,178.63
1RR***********AYE,297.05
1RT***********H02,335.01
1RV***********EA7,313.35
1RZ***********C7M,227.66
1S1***********WKS,192.01
1S6***********WG2,269.84
1SF***********SVH,159.37
1TC***********0CE,101.72
1TV***********EUH,378.97
1TX***********9RZ,206.8
1UU***********67K,193.43
1V1***********0Z8,221.14
1V6***********P5U,201.02
1VA***********HVB,185.78
1VN***********2BM,125.79
1VS***********JJ5,183.28
1W3***********66M,311.29
1WL***********42D,168.31
1X0***********PND,436.1
1YE***********AWP,363.28
1YS***********F32,419.94
1YU***********4X9,112.58
1YV***********GV3,154.03
1YW***********7HZ,346.17
1ZA***********HFX,218.08
1ZC***********VEW,107.44
1ZX***********9RY,251.57
1ZX***********RP3,125.37
1ZY***********DFV,166.23
205***********9TK,143.61
206***********AUA,180.32
207***********WTZ,211.85
208***********08K,207.9
20E***********WER,183.06
20G***********LYE,275.52
20N***********RN0,176.38
20P***********J7Z,287.32
20W***********136,216.26
217***********W55,392.26
21D***********TSB,379.72
21F***********5XD,144.64
21N***********GWW,174.65
21N***********ZCH,238.72
21V***********777,163.54
21Y***********GC4,265.71
22F***********1A6,234.08
22G***********K6S,344.56
22U***********DHX,220.88
236***********JF8,141.95
23A***********UNZ,150.15
23J***********RGN,166.25
23X***********SCM,191.44
248***********XJZ,440.85
24E***********JT0,204.49
24W***********6JC,292.16
250***********B9E,303.73
253***********ZH9,288.41
25D***********8HW,70.42
25H***********3BB,173.95
25J***********K4U,199.06
25T***********HDG,365.54
25Z***********S8G,152.94
263***********0JR,227.68
267***********KMG,95.71
26N***********AMU,282.39
26Z***********TAV,308.15
273***********4T2,166.7
273***********HSW,299.95
278***********U6V,113.28
27D***********0J5,169.06
27N***********GZX,394.42
27R***********4C5,513.88
27W***********ZRW,209.41
27Y***********HCC,188.03
27Z***********2AY,194.21
280***********GEC,163.35
283***********MJR,121.75
289***********B2H,172.58
28H***********EV1,442.18
28M***********MDM,123.91
28V***********CSB,376.16
28Z***********P16,206.49
291***********DM3,252.88
295***********VM1,137.31
296***********6H4,200.49
29L***********AN7,203.87
2A9***********PXZ,337.71
2AA***********GL5,214.78
2AP***********ZSV,330.9
2AS***********N9R,182.74
2AT***********7PB,304.54
2AX***********BH8,134.99
2B0***********9A0,192.32
2B0***********DC4,303.04
2B3***********LRE,274.05
2BE***********264,117.73
2BG***********V1L,336.12
2BJ***********Y2M,110.04
2C1***********YJY,136.78
2C4***********MW6,268.49
2CA***********V5B,292.05
2D2***********02G,315.6
2DE***********S2M,402.22
2DH***********ADC,332.74
2DJ***********BS0,253.97
2DM***********VN6,217.03
2DS***********KW2,369.92
2E5***********LAT,288.41
2E7***********CHG,286.46
2EE***********HZ6,227.52
2FH***********Z4W,220.36
2FJ***********38A,191.85
2G2***********CYA,329.19
2GA***********DFV,308.03
2GH***********UD8,228.92
2GR***********60F,175.66
2GR***********WDV,147.84
2H8***********6DP,364.22
2J0***********9MH,201.95
2JH***********67J,254.82
2JM***********SD0,255.01
2K7***********WP0,117.57
2KA***********6NR,258.97
2KG***********ET9,232.44
2KS***********03B,118.28
2KY***********KJR,310.41
2L9***********94D,182.06
2LA***********CDU,470.27
2LF***********FHA,268.13
2M6***********0K2,241.17
2M6***********510,327.98
2M6***********MJL,236.16
2MJ***********L30,111.35
2N5***********CKP,127.43
2NA***********0DF,232.51
2NG***********XA0,287.54
2P3***********HP9,271.09
2P9***********20U,289.12
2PL***********TYH,173.74
2PN***********VTX,176.06
2R7***********APD,337.95
2RE***********WXB,454.12
2RK***********93R,184.59
2RV***********89J,341.03
2S7***********U3T,266.26
2SA***********NEF,234.29
2SG***********2X7,283.55
2SZ***********5EN,312.67
2T4***********3Z2,114.77
2TG***********N9F,209.09
2U5***********GGG,184.99
2UB***********UN8,345.76
2UC***********RHP,403.51
2WE***********90M,342.77
2WM***********JN1,264.68
2XY***********KJC,124.94
2YV***********YJB,146.99
2Z8***********F3X,290.73
2Z9***********CYS,437.83
2ZB***********WFW,308.75
2ZK***********JSD,210.95
305***********D65,123.04
307***********KHD,75.39
30C***********715,164.38
30S***********RC6,114.14
30W***********U8M,124.29
314***********XZ0,170.79
319***********ECH,126.95
31H***********H5L,306.25
31J***********5M5,208.2
31P***********9UA,404.68
31P***********HXE,372.77
321***********ANR,194.47
321***********RN2,192.96
32A***********419,274.63
32D***********AUU,183.25
32S***********TVB,290.68
330***********TE5,272.67
333***********FA3,313.45
33V***********ZWN,110.97
345***********5EZ,252.44
34N***********HVF,173.13
34S***********46N,100.21
34U***********0AE,413.85
34X***********ETH,249.3
355***********SZC,298.44
35D***********0AR,314.34
35K***********EKJ,192.17
35M***********3C0,89.11
35Y***********5HT,364.48
35Z***********98B,152.95
360***********PFB,240.2
362***********LKM,194.6
365***********9YT,151.47
377***********SP2,169.35
378***********8W2,159.77
37C***********2S9,147.26
37X***********FR3,147.3
37Z***********G3U,296.77
37Z***********X6T,275.24
38K***********YCP,272.88
38S***********XMX,178.14
38V***********93Y,288.52
39H***********YYC,202.45
39M***********YHA,121.42
39X***********4L4,119.97
39Y***********EGR,290.07
3AH***********1WC,285.85
3AM***********5P5,260.48
3AT***********E7V,247.77
3B5***********GM8,280.92
3B9***********6H2,177.83
3B9***********VG4,105.78
3BG***********201,250.22
3BJ***********FBC,282.33
3BP***********LPP,390.46
3BP***********SW2,367.34
3BX***********XG1,118.2
3C4***********1VE,120.03
3CG***********SPF,267.82
3CW***********GSK,96.46
3D6***********AGG,257.74
3D9***********BRF,393.61
3DF***********6C9,421.38
3DH***********LEF,265.42
3DX***********T84,290.11
3EW***********LVM,217.28
3F1***********3UA,291.98
3F6***********N6X,127.83
3F8***********695,168.7
3FM***********JEA,280.75
3FM***********NSD,223.85
3FZ***********GC2,410.16
3G6***********Z4A,231.83
3GS***********NA2,310.01
3GZ***********WJK,111.76
3H5***********XJ3,301.66
3HF***********95P,128.99
3HL***********UTW,237.9
3JB***********FZ3,439.98
3JD***********H96,387.46
3K8***********MM3,200.27
3KD***********FR1,188.91
3LM***********37Y,216.17
3M6***********LXH,533.26
3MF***********CU9,79.35
3MH***********05C,285.54
3N4***********875,191.17
3N5***********YSH,371.4
3N7***********J8W,180.04
3NJ***********GYK,134.75
3NS***********5KR,246.75
3NZ***********SZJ,384.0
3PG***********8YR,190.33
3PJ***********JC4,129.63
3PK***********DNU,174.55
3PM***********TNE,114.03
3PS***********3GU,152.01
3R7***********Z6B,279.87
3R8***********74T,192.0
3R9***********FK8,128.27
3RU***********WUR,243.19
3RV***********EPB,150.37
3S4***********BY8,180.54
3S5***********5YX,354.28
3SE***********780,325.6
3SS***********BBT,296.48
3T1***********NLD,167.26
3T6***********DTP,177.7
3TJ***********1GU,326.72
3TW***********KX4,320.59
3U7***********9ZL,204.68
3UW***********5NR,156.77
3V6***********W4P,244.66
3V8***********FE9,110.33
3VJ***********5K3,146.4
3VK***********PCM,191.22
3VN***********M01,176.93
3VR***********XS3,236.64
3VY***********DTS,173.62
3WF***********M85,92.94
3WT***********0R1,148.33
3X3***********C9F,260.36
3X5***********E3V,124.79
3X6***********PP4,184.09
3XB***********NBZ,209.11
3XC***********T5E,240.65
3XJ***********A37,173.45
3XY***********RJ7,171.57
3YN***********RA5,224.0
3YR***********8BC,226.37
3Z6***********20F,167.14
3ZC***********E96,121.77
3ZD***********LRE,178.05
3ZW***********1ST,355.76
400***********XKK,356.73
406***********J94,151.67
407***********3WJ,325.74
40C***********FSL,269.54
40C***********LYS,271.24
40G***********ZWG,167.66
40J***********YK9,217.34
419***********D61,345.39
41D***********83M,117.06
41M***********CHK,170.83
41U***********BTM,266.8
422***********JJF,138.13
42A***********7KY,177.43
42H***********3PP,195.8
430***********X5B,217.74
436***********N50,272.64
43J***********BHJ,225.36
43K***********RGR,267.78
43L***********VLC,241.35
43M***********CH9,388.6
43T***********V0F,406.23
43U***********ZSH,126.68
444***********GEU,168.36
447***********7PB,315.48
44R***********PKN,257.56
44T***********M5L,243.9
45L***********AKM,208.52
45V***********KMH,220.62
45W***********ZVB,189.67
46N***********AYF,128.44
470***********YRG,140.78
475***********EWD,226.47
47S***********NKG,399.96
47S***********SDF,201.94
47Z***********AED,215.76
48C***********F4G,194.27
48G***********9WX,206.84
48L***********38W,206.51
48P***********UKU,106.1
4AJ***********9LW,133.47
4AT***********7XC,265.81
4AZ***********761,305.63
4B1***********VTS,143.32
4B5***********L1B,230.92
4C8***********XNV,200.71
4CV***********BSJ,146.79
4CX***********T1C,237.04
4D0***********RT3,272.1
4DJ***********24Y,189.91
4DJ***********PYX,141.0
4DN***********U5Z,423.37
4E8***********THY,229.45
4EJ***********SWE,201.23
4EU***********UFC,220.6
4EX***********WHN,228.29
4EY***********BC1,248.17
4F5***********0ZC,197.03
4FG***********U5V,152.99
4FU***********HCX,231.68
4FX***********DZZ,175.76
4GH***********8EA,151.69
4GM***********KFT,119.0
4GY***********PBM,227.54
4H0***********5DF,147.36
4H4***********RZC,192.69
4HH***********EC2,250.59
4HR***********AV2,234.17
4HU***********X5J,310.33
4HW***********3C9,227.93
4J0***********ZV5,109.66
4J1***********K5V,242.03
4JE***********N26,281.82
4JU***********H48,235.12
4KJ***********SZC,205.08
4KV***********SJU,385.83
4KW***********BPC,321.95
4L1***********3BY,96.31
4L1***********M6Z,180.29
4L2***********PDS,348.52
4L4***********D1E,91.56
4L6***********K8Y,340.51
4LA***********BPG,294.57
4LB***********PLL,189.21
4LR***********448,263.53
4M1***********XRS,284.1
4M4***********FN1,127.72
4M9***********CUJ,161.87
4MJ***********EAW,186.37
4MR***********ZAJ,230.19
4MY***********HW6,239.67
4N3***********2LX,190.05
4N9***********80T,325.34
4NL***********PFE,246.9
4P0***********PWG,125.52
4P1***********U8F,148.32
4P9***********V6U,131.59
4R8***********LPW,214.8
4RB***********Z1V,173.09
4S4***********8EM,193.05
4SJ***********EDP,318.65
4SV***********H04,138.84
4SV***********M6S,290.16
4T9***********NFV,245.97
4TE***********H3M,208.15
4U0***********RYC,187.4
4U1***********JZG,98.42
4U9***********CR2,114.72
4UB***********5WP,261.7
4UR***********YTX,128.74
4VA***********ENE,163.3
4VC***********BNE,274.82
4VJ***********NZY,376.11
4VU***********DG4,226.67
4W3***********L31,337.06
4WR***********N19,450.39
4X1***********HW8,203.43
4X8***********D4C,267.42
4XB***********7RD,243.3
4XG***********YT3,153.8
4XR***********G4P,185.28
4Y3***********TVP,236.49
4YK***********7A0,235.37
4YN***********6KJ,248.39
4YT***********NZ4,234.01
4YU***********RJF,419.87
4YX***********B8R,145.52
4Z1***********ABB,166.28
4Z9***********HB2,164.62
4ZY***********VCM,396.35
502***********0TX,279.49
509***********ZMF,331.8
50A***********F8D,146.94
50D***********6XR,167.39
50X***********2Y2,197.4
512***********WPY,181.66
514***********S7A,248.63
518***********KE3,208.75
51S***********GRG,330.11
521***********N7B,220.41
522***********1NN,239.69
524***********7E7,276.69
527***********EL2,90.81
52F***********GJL,243.89
52P***********RGR,143.28
52X***********T0E,188.75
530***********9FZ,177.0
536***********JED,329.63
53B***********3NL,262.81
53D***********XN1,111.22
