VIN,Rework_Count,Has_Rework_Loop
00D***********27N,0,False
00N***********SN8,0,False
00Y***********TG1,0,False
010***********GZT,0,False
013***********6YR,0,False
01K***********2W4,0,False
01N***********J9Y,0,False
01P***********N7K,0,False
025***********9MF,0,False
026***********D4A,0,False
02N***********YBM,0,False
030***********X0M,0,False
034***********CG1,0,False
036***********TXH,0,False
03C***********PEL,0,False
03F***********FEY,0,False
03U***********MD5,0,False
040***********09E,0,False
04F***********BC1,0,False
04M***********14G,0,False
04S***********WPH,0,False
04V***********ZEE,0,False
04X***********2W1,0,False
04X***********DKA,0,False
050***********AFA,0,False
050***********ANJ,0,False
055***********NE6,0,False
05N***********EEJ,0,False
060***********KC8,0,False
06D***********SE0,0,False
077***********P7M,0,False
089***********KMN,0,False
08B***********Y4E,0,False
08M***********82W,0,False
08V***********9C1,0,False
08W***********DFN,0,False
08Z***********DEV,0,False
09G***********DYS,0,False
09T***********LRE,0,False
09W***********SCK,0,False
0A6***********30M,0,False
0A8***********18S,0,False
0AG***********RS0,0,False
0AL***********8JD,0,False
0AN***********1PU,0,False
0AV***********57F,0,False
0AX***********067,0,False
0AX***********13Y,0,False
0C3***********E5Z,0,False
0CD***********0LW,0,False
0CP***********RT8,0,False
0CU***********A9S,0,False
0CZ***********62Y,0,False
0DE***********9J7,0,False
0DL***********9C7,0,False
0DP***********GV6,0,False
0E5***********VGL,0,False
0EA***********LPX,0,False
0EB***********8BZ,0,False
0EG***********ZAD,0,False
0ES***********5NF,0,False
0EZ***********58J,0,False
0FA***********P3M,0,False
0FF***********68M,0,False
0FG***********71Z,0,False
0FS***********M5T,0,False
0FT***********07L,0,False
0GB***********M2G,0,False
0GE***********R15,0,False
0GR***********B3N,0,False
0GW***********MZG,0,False
0H4***********GF0,0,False
0HK***********WUG,0,False
0HX***********LZV,0,False
0HY***********YL9,0,False
0JE***********JLR,0,False
0JG***********MNA,0,False
0JK***********6PT,0,False
0JM***********JMV,0,False
0JY***********JCW,0,False
0JZ***********G1Z,0,False
0KW***********7T2,0,False
0KX***********339,0,False
0KY***********90G,0,False
0KZ***********M02,0,False
0LG***********YF1,0,False
0LH***********DDA,0,False
0LJ***********RX6,0,False
0LM***********67Z,0,False
0M7***********K8R,0,False
0MD***********B6C,0,False
0ML***********GUP,0,False
0NM***********8ZP,0,False
0P5***********WD9,0,False
0P6***********AB1,0,False
0PB***********M9R,0,False
0PM***********C84,0,False
0PN***********F2B,0,False
0PP***********RE5,0,False
0PW***********3GZ,0,False
0R4***********8H6,0,False
0RC***********AK4,0,False
0RH***********2RS,0,False
0RJ***********7DZ,0,False
0S0***********F6X,0,False
0S8***********XRN,0,False
0SC***********CMP,0,False
0SN***********JK9,0,False
0ST***********896,0,False
0SX***********YT8,0,False
0T3***********9JX,0,False
0T3***********N9V,0,False
0TA***********RN2,0,False
0TD***********RJH,0,False
0TK***********BE3,0,False
0TP***********DKT,0,False
0TV***********WJY,0,False
0UE***********98Y,0,False
0UF***********XAD,0,False
0UH***********M0D,0,False
0UJ***********V8J,0,False
0UM***********N7U,0,False
0UU***********P9T,0,False
0VA***********47P,0,False
0VE***********NW7,0,False
0VM***********WAE,0,False
0WC***********NZB,0,False
0WF***********LD2,0,False
0WK***********GVH,0,False
0WV***********P60,0,False
0WZ***********M8S,0,False
0X2***********0PL,0,False
0X6***********3Y3,0,False
0XG***********PLM,0,False
0Y2***********9AH,0,False
0YA***********AL5,0,False
0YJ***********RTG,0,False
0Z9***********MMZ,0,False
0ZX***********1Y5,0,False
104***********RN5,0,False
11E***********YPA,0,False
11M***********B77,0,False
122***********08X,0,False
123***********A3J,0,False
12A***********DWG,0,False
12C***********23K,0,False
12E***********92G,0,False
12M***********ZY3,0,False
12U***********ZPX,0,False
12W***********1CK,0,False
12W***********HGP,0,False
147***********YJC,0,False
14L***********SY7,0,False
14T***********XFU,0,False
15C***********DA1,0,False
15J***********GCV,0,False
15N***********BD9,0,False
15V***********APH,0,False
162***********35D,0,False
16F***********8GS,0,False
16J***********48L,0,False
179***********DD9,0,False
17J***********BWS,0,False
17M***********997,0,False
187***********6ET,0,False
18B***********AEM,0,False
18M***********5D2,0,False
18V***********XNY,0,False
18Z***********E1T,0,False
197***********SRT,0,False
198***********N33,0,False
1AE***********VSH,0,False
1AP***********H3R,0,False
1B1***********D4G,0,False
1B3***********XFR,0,False
1BG***********H7G,0,False
1BM***********EYE,0,False
1BP***********FA8,0,False
1C4***********EAZ,0,False
1C5***********2V9,0,False
1C6***********U4R,0,False
1C7***********CZZ,0,False
1CC***********RPV,0,False
1CD***********PA2,0,False
1CF***********HYU,0,False
1CJ***********G0L,0,False
1CS***********EWL,0,False
1DP***********1BG,0,False
1E3***********407,0,False
1E5***********7DX,0,False
1E6***********R24,0,False
1EF***********YC5,0,False
1EJ***********MNB,0,False
1F1***********WA4,0,False
1FN***********5B2,0,False
1FS***********YFH,0,False
1FW***********5NF,0,False
1G1***********R9W,0,False
1GA***********MRK,0,False
1H2***********SDP,0,False
1H9***********LLB,0,False
1HY***********CEF,0,False
1J0***********4CK,0,False
1J9***********MM7,0,False
1JA***********0D0,0,False
1JP***********9D1,0,False
1JR***********Z0R,0,False
1KB***********KBX,0,False
1KN***********YFH,0,False
1KY***********813,0,False
1KZ***********KLT,0,False
1KZ***********MSW,0,False
1L2***********N8U,0,False
1LC***********BD1,0,False
1LE***********HRT,0,False
1LT***********E7A,0,False
1M2***********06J,0,False
1ME***********NC4,0,False
1MM***********SVV,0,False
1MV***********U82,0,False
1N3***********ZM2,0,False
1N7***********SLA,0,False
1ND***********VLX,0,False
1NJ***********CET,0,False
1NT***********098,0,False
1NU***********EMD,0,False
1PK***********W1W,0,False
1PP***********HXV,0,False
1R8***********EFN,0,False
1RC***********V0L,0,False
1RC***********ZVX,0,False
1RM***********U2A,0,False
1RR***********AYE,0,False
1RT***********H02,0,False
1RV***********EA7,0,False
1RZ***********C7M,0,False
1S1***********WKS,0,False
1S6***********WG2,0,False
1SF***********SVH,0,False
1TC***********0CE,0,False
1TV***********EUH,0,False
1TX***********9RZ,0,False
1UU***********67K,0,False
1V1***********0Z8,0,False
1V6***********P5U,0,False
1VA***********HVB,0,False
1VN***********2BM,0,False
1VS***********JJ5,0,False
1W3***********66M,0,False
1WL***********42D,0,False
1X0***********PND,0,False
1YE***********AWP,0,False
1YS***********F32,0,False
1YU***********4X9,0,False
1YV***********GV3,0,False
1YW***********7HZ,0,False
1ZA***********HFX,0,False
1ZC***********VEW,0,False
1ZX***********9RY,0,False
1ZX***********RP3,0,False
1ZY***********DFV,0,False
205***********9TK,0,False
206***********AUA,0,False
207***********WTZ,0,False
208***********08K,0,False
20E***********WER,0,False
20G***********LYE,0,False
20N***********RN0,0,False
20P***********J7Z,0,False
20W***********136,0,False
217***********W55,0,False
21D***********TSB,0,False
21F***********5XD,0,False
21N***********GWW,0,False
21N***********ZCH,0,False
21V***********777,0,False
21Y***********GC4,0,False
22F***********1A6,0,False
22G***********K6S,0,False
22U***********DHX,0,False
236***********JF8,0,False
23A***********UNZ,0,False
23J***********RGN,0,False
23X***********SCM,0,False
248***********XJZ,0,False
24E***********JT0,0,False
24W***********6JC,0,False
250***********B9E,0,False
253***********ZH9,0,False
25D***********8HW,0,False
25H***********3BB,0,False
25J***********K4U,0,False
25T***********HDG,0,False
25Z***********S8G,0,False
263***********0JR,0,False
267***********KMG,0,False
26N***********AMU,0,False
26Z***********TAV,0,False
273***********4T2,0,False
273***********HSW,0,False
278***********U6V,0,False
27D***********0J5,0,False
27N***********GZX,0,False
27R***********4C5,0,False
27W***********ZRW,0,False
27Y***********HCC,0,False
27Z***********2AY,0,False
280***********GEC,0,False
283***********MJR,0,False
289***********B2H,0,False
28H***********EV1,0,False
28M***********MDM,0,False
28V***********CSB,0,False
28Z***********P16,0,False
291***********DM3,0,False
295***********VM1,0,False
296***********6H4,0,False
29L***********AN7,0,False
2A9***********PXZ,0,False
2AA***********GL5,0,False
2AP***********ZSV,0,False
2AS***********N9R,0,False
2AT***********7PB,0,False
2AX***********BH8,0,False
2B0***********9A0,0,False
2B0***********DC4,0,False
2B3***********LRE,0,False
2BE***********264,0,False
2BG***********V1L,0,False
2BJ***********Y2M,0,False
2C1***********YJY,0,False
2C4***********MW6,0,False
2CA***********V5B,0,False
2D2***********02G,0,False
2DE***********S2M,0,False
2DH***********ADC,0,False
2DJ***********BS0,0,False
2DM***********VN6,0,False
2DS***********KW2,0,False
2E5***********LAT,0,False
2E7***********CHG,0,False
2EE***********HZ6,0,False
2FH***********Z4W,0,False
2FJ***********38A,0,False
2G2***********CYA,0,False
2GA***********DFV,0,False
2GH***********UD8,0,False
2GR***********60F,0,False
2GR***********WDV,0,False
2H8***********6DP,0,False
2J0***********9MH,0,False
2JH***********67J,0,False
2JM***********SD0,0,False
2K7***********WP0,0,False
2KA***********6NR,0,False
2KG***********ET9,0,False
2KS***********03B,0,False
2KY***********KJR,0,False
2L9***********94D,0,False
2LA***********CDU,0,False
2LF***********FHA,0,False
2M6***********0K2,0,False
2M6***********510,0,False
2M6***********MJL,0,False
2MJ***********L30,0,False
2N5***********CKP,0,False
2NA***********0DF,0,False
2NG***********XA0,0,False
2P3***********HP9,0,False
2P9***********20U,0,False
2PL***********TYH,0,False
2PN***********VTX,0,False
2R7***********APD,0,False
2RE***********WXB,0,False
2RK***********93R,0,False
2RV***********89J,0,False
2S7***********U3T,0,False
2SA***********NEF,0,False
2SG***********2X7,0,False
2SZ***********5EN,0,False
2T4***********3Z2,0,False
2TG***********N9F,0,False
2U5***********GGG,0,False
2UB***********UN8,0,False
2UC***********RHP,0,False
2WE***********90M,0,False
2WM***********JN1,0,False
2XY***********KJC,0,False
2YV***********YJB,0,False
2Z8***********F3X,0,False
2Z9***********CYS,0,False
2ZB***********WFW,0,False
2ZK***********JSD,0,False
305***********D65,0,False
307***********KHD,0,False
30C***********715,0,False
30S***********RC6,0,False
30W***********U8M,0,False
314***********XZ0,0,False
319***********ECH,0,False
31H***********H5L,0,False
31J***********5M5,0,False
31P***********9UA,0,False
31P***********HXE,0,False
321***********ANR,0,False
321***********RN2,0,False
32A***********419,0,False
32D***********AUU,0,False
32S***********TVB,0,False
330***********TE5,0,False
333***********FA3,0,False
33V***********ZWN,0,False
345***********5EZ,0,False
34N***********HVF,0,False
34S***********46N,0,False
34U***********0AE,0,False
34X***********ETH,0,False
355***********SZC,0,False
35D***********0AR,0,False
35K***********EKJ,0,False
35M***********3C0,0,False
35Y***********5HT,0,False
35Z***********98B,0,False
360***********PFB,0,False
362***********LKM,0,False
365***********9YT,0,False
377***********SP2,0,False
378***********8W2,0,False
37C***********2S9,0,False
37X***********FR3,0,False
37Z***********G3U,0,False
37Z***********X6T,0,False
38K***********YCP,0,False
38S***********XMX,0,False
38V***********93Y,0,False
39H***********YYC,0,False
39M***********YHA,0,False
39X***********4L4,0,False
39Y***********EGR,0,False
3AH***********1WC,0,False
3AM***********5P5,0,False
3AT***********E7V,0,False
3B5***********GM8,0,False
3B9***********6H2,0,False
3B9***********VG4,0,False
3BG***********201,0,False
3BJ***********FBC,0,False
3BP***********LPP,0,False
3BP***********SW2,0,False
3BX***********XG1,0,False
3C4***********1VE,0,False
3CG***********SPF,0,False
3CW***********GSK,0,False
3D6***********AGG,0,False
3D9***********BRF,0,False
3DF***********6C9,0,False
3DH***********LEF,0,False
3DX***********T84,0,False
3EW***********LVM,0,False
3F1***********3UA,0,False
3F6***********N6X,0,False
3F8***********695,0,False
3FM***********JEA,0,False
3FM***********NSD,0,False
3FZ***********GC2,0,False
3G6***********Z4A,0,False
3GS***********NA2,0,False
3GZ***********WJK,0,False
3H5***********XJ3,0,False
3HF***********95P,0,False
3HL***********UTW,0,False
3JB***********FZ3,0,False
3JD***********H96,0,False
3K8***********MM3,0,False
3KD***********FR1,0,False
3LM***********37Y,0,False
3M6***********LXH,0,False
3MF***********CU9,0,False
