Supplier,Supplier_Lot,Part_No,VIN
SUP-02,LOT-2611,223-ABC,XT8***********ABX
SUP-09,LOT-5259,710-DEF,TWK***********246
SUP-01,LOT-5486,305-JKL,LVG***********SNG
SUP-02,LOT-5388,650-GHI,G43***********7UT
SUP-01,LOT-1670,782-ABC,K67***********G5B
SUP-09,LOT-2264,232-JKL,J72***********WLZ
SUP-01,LOT-6688,702-GHI,DGN***********RKD
SUP-02,LOT-6431,572-ABC,Y7N***********RE2
SUP-01,LOT-6671,377-GHI,2LF***********FHA
SUP-01,LOT-7599,966-DEF,M8B***********N72
SUP-09,LOT-4968,694-JKL,1S1***********WKS
SUP-01,LOT-7904,750-GHI,7YF***********BUT
SUP-09,LOT-1325,648-ABC,AZ1***********2VY
SUP-09,LOT-2109,192-DEF,W2H***********L67
SUP-01,LOT-6310,427-ABC,7VZ***********KXC
SUP-01,LOT-7893,823-GHI,29L***********AN7
SUP-09,LOT-2871,583-GHI,R9F***********17M
SUP-01,LOT-6519,310-GHI,LJK***********5FV
SUP-09,LOT-1965,395-ABC,2AS***********N9R
SUP-02,LOT-4516,569-JKL,F4C***********4DL
SUP-02,LOT-9503,954-JKL,XUL***********120
SUP-02,LOT-1517,942-GHI,CGB***********7K5
SUP-09,LOT-5479,736-ABC,7TP***********HTE
SUP-09,LOT-3796,247-JKL,DWD***********LCN
SUP-01,LOT-8487,381-GHI,3R7***********Z6B
SUP-09,LOT-5785,551-GHI,H4G***********TU0
SUP-01,LOT-4968,799-DEF,1BM***********EYE
SUP-09,LOT-1353,823-GHI,PN5***********59Z
SUP-02,LOT-1110,984-JKL,VE2***********829
SUP-01,LOT-7421,162-DEF,ZJX***********70W
SUP-09,LOT-4377,691-DEF,96K***********EN1
SUP-01,LOT-9177,565-GHI,8Z7***********ZEG
SUP-01,LOT-7284,891-JKL,L7R***********WVM
SUP-02,LOT-7933,138-JKL,5S3***********D12
SUP-09,LOT-9411,539-ABC,NFR***********C6S
SUP-09,LOT-9103,540-GHI,24W***********6JC
SUP-02,LOT-3274,905-DEF,XLU***********TE9
SUP-09,LOT-6120,145-ABC,L4W***********5GJ
SUP-02,LOT-3059,423-JKL,CXJ***********HSC
SUP-01,LOT-7333,966-JKL,GZJ***********G0T
SUP-02,LOT-6234,588-GHI,TGC***********NWH
SUP-01,LOT-2939,804-DEF,TXV***********0YN
SUP-01,LOT-9236,439-DEF,KXW***********44C
SUP-02,LOT-9171,867-GHI,KPP***********FPB
SUP-02,LOT-3983,417-ABC,Y0V***********5XH
SUP-09,LOT-7116,574-ABC,5YY***********LRW
SUP-09,LOT-7183,707-ABC,VHU***********36S
SUP-09,LOT-8707,765-GHI,3DH***********LEF
SUP-02,LOT-8308,663-JKL,XZG***********BS7
SUP-01,LOT-3831,484-GHI,67S***********8G8
SUP-01,LOT-5586,567-ABC,0HX***********LZV
SUP-01,LOT-5586,299-GHI,35D***********0AR
SUP-09,LOT-9674,416-ABC,LXW***********H0F
SUP-09,LOT-6954,819-JKL,9U5***********AXP
SUP-02,LOT-7780,848-DEF,6XT***********8NF
SUP-09,LOT-5800,867-GHI,NZW***********XA6
SUP-02,LOT-7264,970-JKL,FZA***********E5Z
SUP-02,LOT-5026,918-DEF,L6G***********LYA
SUP-09,LOT-6783,961-ABC,UAJ***********C7Z
SUP-01,LOT-1165,886-JKL,DK4***********F41
SUP-02,LOT-6614,251-JKL,5K7***********YC0
SUP-09,LOT-9180,269-DEF,T5N***********J29
SUP-02,LOT-1270,408-DEF,DF1***********ZZ7
SUP-09,LOT-2555,488-DEF,1RZ***********C7M
SUP-01,LOT-1424,845-GHI,RKC***********1YS
SUP-01,LOT-4807,622-DEF,D5C***********WAX
SUP-09,LOT-6317,163-ABC,SX0***********J6D
SUP-09,LOT-1294,537-JKL,PMW***********JYJ
